TYC,RAdeg,DEdeg,BTmag,VTmag,Const,Color
0003-01464-1,6.35090083,1.93972167,6.825,5.864,Pisces,0.9610000000000003
0006-01362-1,6.56869417,3.82575611,6.721,6.872,Pisces,-0.1509999999999998
0016-01423-1,8.09898667,6.95545639,5.663,5.676,Pisces,-0.0129999999999999
0017-01398-1,12.09400417,5.28325139,6.855,5.828,Pisces,1.0270000000000001
0019-01437-1,15.95399972,1.36694,6.374,6.097,Cetus,0.27699999999999925
0020-00628-1,18.89843972,0.91244833,6.856,6.721,Cetus,0.1349999999999998
0022-01278-1,16.4550975,4.90865472,6.779,6.389,Pisces,0.3899999999999997
0023-01341-1,19.4499275,3.6145175,5.236,5.147,Pisces,0.08899999999999952
0024-01159-1,21.72311917,3.53568306,6.564,6.65,Pisces,-0.0860000000000003
0025-01379-1,17.09305778,5.65020833,5.894,5.541,Pisces,0.35299999999999976
0027-00117-1,22.26296833,7.29422667,6.95,6.582,Pisces,0.3680000000000003
0033-01213-1,28.38891056,3.18748056,5.796,4.709,Pisces,1.0870000000000006
0034-01287-1,22.54563972,6.14393167,6.628,4.995,Pisces,1.633
0035-00435-1,25.35794583,5.48760472,6.212,4.587,Pisces,1.625
0037-01318-1,30.7983725,0.12845722,5.621,5.444,Cetus,0.1770000000000005
0038-01270-1,33.79001028,0.72019389,6.888,6.772,Cetus,0.11599999999999966
0038-01343-1,34.50517083,1.75694778,6.298,5.665,Cetus,0.633
0040-01337-1,30.03763972,3.09759444,6.603,5.94,Pisces,0.6629999999999994
0040-01338-1,30.51167361,2.76375639,4.048,4.1,Pisces,-0.0519999999999996
0040-01338-2,30.511165,2.76383611,5.445,5.167,Pisces,0.27800000000000047
0041-01221-1,32.93085889,3.4527175,6.876,6.686,Cetus,0.1900000000000004
0044-01246-1,33.37387083,5.01282778,6.895,6.546,Cetus,0.3489999999999993
0046-01631-1,37.87534667,2.26720667,6.905,5.411,Cetus,1.4940000000000007
0046-01633-1,39.87062306,0.32851556,3.794,4.029,Cetus,-0.23499999999999988
0046-01634-1,37.68846667,0.25587167,6.214,6.014,Cetus,0.20000000000000018
0048-01600-1,43.88148639,2.01830139,6.542,6.577,Cetus,-0.03500000000000014
0050-01208-1,41.33694694,4.71172556,6.411,6.07,Cetus,0.3409999999999993
0050-01721-1,40.82550083,3.23616611,3.644,3.551,Cetus,0.09299999999999997
0050-01721-2,40.82488361,3.23647306,6.699,6.175,Cetus,0.524
0052-01681-1,38.96869944,5.59329806,5.96,4.968,Cetus,0.992
0053-00623-1,40.06526694,6.11195444,6.727,6.291,Cetus,0.43599999999999994
0058-00607-1,45.59378472,4.35287306,5.487,5.591,Cetus,-0.10400000000000009
0058-01618-1,45.56991167,4.08992139,4.687,2.716,Cetus,1.971
0059-01947-1,49.83978667,3.36998,5.67,4.919,Cetus,0.7510000000000003
0060-01705-1,50.27821694,3.67568028,6.902,5.787,Cetus,1.1150000000000002
0062-01579-1,48.10987306,6.660885,6.849,5.68,Cetus,1.1690000000000005
0064-01569-1,54.21879528,0.40278389,4.973,4.353,Taurus,0.6200000000000001
0066-01215-1,58.37588806,2.11918972,6.664,6.711,Taurus,-0.0470000000000006
0067-01753-1,54.963095,3.05684333,6.719,5.658,Taurus,1.061
0071-01224-1,56.41846417,6.05002694,5.2,5.319,Taurus,-0.11899999999999977
0072-00232-1,59.25707306,6.04012833,6.161,6.081,Taurus,0.07999999999999918
0072-01226-1,58.00090611,6.53484833,5.814,5.77,Taurus,0.04400000000000048
0075-02835-1,67.13379056,1.38087194,5.406,5.516,Taurus,-0.11000000000000032
0076-00587-1,62.42931389,3.32284611,6.992,6.534,Taurus,0.4580000000000002
0076-00723-1,60.6217325,3.84724972,6.933,6.909,Taurus,0.02400000000000002
0076-01563-1,61.04080222,2.82724639,5.936,5.399,Taurus,0.5369999999999999
0077-01286-1,63.94277139,3.26326528,,11.189,Taurus,
0079-00162-1,62.36336806,6.72518611,6.849,6.741,Taurus,0.10800000000000054
0079-00826-1,60.93584944,5.43563917,5.199,5.293,Taurus,-0.0940000000000003
0079-01585-1,60.78907361,5.98930972,3.939,3.888,Taurus,0.051000000000000156
0080-01093-1,62.834165,5.52303556,6.12,5.744,Taurus,0.37600000000000033
0081-02311-1,65.17188722,6.13090139,6.924,5.855,Taurus,1.069
0082-01777-1,69.30698167,0.99832694,5.165,5.296,Taurus,-0.13100000000000023
0083-01181-1,71.17565167,0.56817389,6.983,7.169,Orion,-0.18599999999999994
0084-01782-1,72.68910833,1.14781917,6.749,6.663,Orion,0.08599999999999941
0085-01752-1,73.48251361,1.56938861,6.653,6.609,Orion,0.043999999999999595
0085-02362-1,74.63709194,1.71403361,6.283,4.62,Orion,1.6630000000000003
0085-02363-1,73.71128528,0.4671775,5.834,5.948,Orion,-0.11400000000000077
0089-02558-1,73.56289806,2.44067139,3.465,3.657,Orion,-0.19200000000000017
0090-00033-1,68.01977389,5.41001917,6.857,6.411,Taurus,0.4460000000000006
0090-00642-1,68.5344825,5.56863389,5.747,5.685,Taurus,0.06200000000000028
0092-02345-1,72.80152361,5.60510167,3.458,3.638,Orion,-0.17999999999999972
0093-00682-1,73.99317167,5.39905722,6.534,6.489,Orion,0.04499999999999993
0094-00172-1,67.96016278,5.76449694,6.667,6.67,Taurus,-0.0030000000000001137
0095-00098-1,69.47639444,7.31763222,6.913,6.977,Taurus,-0.06400000000000006
0096-00210-1,71.82464917,5.78826444,6.793,6.771,Orion,0.02200000000000024
0096-01462-1,72.45896806,6.96124889,3.723,3.222,Orion,0.5009999999999999
0098-02441-1,75.50011028,1.60884167,6.389,6.495,Orion,-0.10599999999999987
0099-00503-1,77.92227361,0.51456944,6.587,6.656,Orion,-0.06899999999999995
0101-00323-1,82.18869194,1.64393556,6.701,6.866,Orion,-0.16500000000000004
0101-02344-1,82.10730583,0.02035861,6.58,6.626,Orion,-0.04600000000000026
0101-02377-1,82.00612833,1.2982475,6.166,6.352,Orion,-0.18599999999999994
0101-02396-1,81.44590611,0.52024333,5.934,6.117,Orion,-0.18299999999999983
0101-02475-1,82.47822083,1.78926167,5.51,5.714,Orion,-0.20400000000000063
0101-02568-1,81.18677861,1.84644667,4.636,4.837,Orion,-0.20099999999999962
0102-02639-1,75.14137056,3.61581917,6.516,6.592,Orion,-0.07599999999999962
0102-02640-1,75.13553583,3.61482667,6.889,6.95,Orion,-0.06099999999999994
0103-01463-1,77.23398694,3.2187875,6.683,6.538,Orion,0.14499999999999957
0103-02863-1,78.32283194,2.86125361,6.076,4.62,Orion,1.4559999999999995
